edad,educ,wage
27,10,2314.1746153031922
74,3,2950.9652861315326
74,12,2473.175576363206
44,12,2266.952942291109
61,14,1895.1426469116354
64,9,2216.9059150160006
20,1,2805.19584158142
52,7,2552.257090219686
41,13,1609.3911217837012
56,9,1358.4091124829415
22,6,3556.1471582369472
51,7,2601.190746012257
77,8,2531.091075594523
19,5,983.128689153617
53,2,2742.211499890092
58,10,2098.9684308429423
56,5,2108.9593065075996
68,0,1812.637458461886
29,9,1993.7152940597132
36,5,2553.1158663443175
46,5,2536.881498612657
54,11,3138.291524290993
37,2,2581.6345014659773
47,14,2791.71511535859
42,2,2639.682822900232
43,12,3336.9620719113896
27,8,1306.692024291103
27,2,2768.325629122677
38,5,2047.822780839993
47,11,2055.6336581423543
70,6,2466.3151378793114
38,7,3851.757373279438
50,3,3243.019963082674
18,7,2560.0123933931395
24,8,2718.839980207852
55,3,3007.9291583298477
23,4,2467.2932581093073
24,6,1667.659906154372
43,2,1340.9720623607986
34,1,1256.3488526251588
41,11,2420.823747845081
64,3,2469.5492511154603
48,6,3556.3743006306745
70,1,1903.2480024697988
27,2,2073.9167833948923
40,4,2821.9664351993592
46,1,2119.762156445315
42,14,1842.4579378939402
39,5,2156.99348199857
46,8,977.2054774486346
35,6,2076.130615033851
35,9,2196.308654006093
67,6,3258.0244248116574
64,6,3307.4484821063684
33,13,3220.8639640801266
48,1,1591.0832493867063
56,14,2139.281381523667
36,7,2799.918074986808
35,13,2012.4240560763487
19,14,2712.333242170625
71,5,1835.3986390829582
57,3,2113.53787024966
47,14,3104.228991345225
72,9,2910.9903074036033
59,0,2324.245580225439
67,0,2708.097237498536
34,12,1523.5093126605852
52,11,1709.4782842319628
34,1,2410.7068907700946
59,13,3257.634366657825
54,13,2765.867578432316
66,5,1779.3276662173257
47,8,2974.095651976814
44,1,2356.6269526398123
20,9,1754.7246696782881
27,11,2687.1617550932247
43,4,3409.05194130663
77,9,2733.6537360040093
70,11,2317.964335719174
57,14,3138.723092041759
48,13,1869.061416477024
30,2,3238.340241892951
31,6,2420.3989471220393
68,8,3176.185855804178
72,1,2749.040977947772
50,2,2746.2863208059316
32,9,1963.2305543157038
34,11,2667.9477891615725
44,10,2878.4042118066354
29,2,2066.5781358275253
22,13,2784.991624626158
55,5,2494.2151590333674
51,14,2199.94203245606
44,10,2081.4840547590925
79,12,2981.308191157308
44,4,2209.395174216689
57,8,1839.4183217366199
25,11,2586.646412571384
52,3,2299.980161073845
36,2,1403.3777598761665
42,7,3030.9760132561096
77,7,3037.5514685777143
19,8,2370.696466372772
49,7,2951.3978218932057
41,0,2752.7198087039164
29,5,3175.103905287563
23,4,2112.9274088436687
36,11,3372.3638798044326
24,5,2898.3445529046394
58,8,2817.588175080046
61,12,2553.369911589119
45,8,2620.547930895622
20,2,3066.3934243031554
35,4,2573.1951815503016
75,5,2738.817348085031
24,1,2490.36930018499
77,9,2635.0693167337613
45,8,2203.7500401138673
70,7,2215.624838125218
77,0,2941.8838524098455
